Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,E_ISI_mean,E_ISI_fitness,I_rate_mean,I_rate_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,334,big_burst_fit,3240.9073464283033,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,57,big_burst_fit,2770.7610526335457,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,280,big_burst_fit,2746.8778729042892,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,426,big_burst_fit,2135.3951366424185,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,492,big_burst_fit,2913.393846431305,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,59,big_burst_fit,2417.68503905262,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,255,big_burst_fit,1938.3645362747327,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,135,big_burst_fit,2435.773590638773,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,305,big_burst_fit,5225.903960305016,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,408,big_burst_fit,2831.1488852059015,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,45,big_burst_fit,2411.782190724422,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,208,big_burst_fit,2313.274730400884,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,39,big_burst_fit,2125.411276441342,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,19,big_burst_fit,1883.949066673675,500.5003810304257,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,343,big_burst_fit,1982.631466178941,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,317,big_burst_fit,3197.5558892065246,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,309,big_burst_fit,3417.707285937805,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,326,big_burst_fit,4180.957144418658,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,80,big_burst_fit,1985.2111910887584,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,501,big_burst_fit,5446.4227002813195,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,234,big_burst_fit,2007.418838746254,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,314,big_burst_fit,2239.0401773306235,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,62,big_burst_fit,2505.42939080077,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,328,big_burst_fit,3602.353049387805,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,190,big_burst_fit,1995.1511895785268,1000.0,False,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,257,big_burst_fit,2354.7928902802823,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,302,big_burst_fit,2175.1745573729445,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,187,big_burst_fit,2054.8750277988934,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,90,big_burst_fit,5581.336178340803,1000.0,True,,,,,,,,,,,,,,,,,,,,,
